country.name,country.iso,region,entities,eu.member,text.category,text.type,source.name,source.link,start.year,end.year,start.date,end.date,complete,retrieval.way,file.type,primary.secondary,storage,archive,init.source,scientific,source.type,meta.vars,organization.name.av,annot.av,codebook.av,vars,analysis.type,full.text.av,text.ready,corpus.type,registration,free.access,copyright,copyright.owner,notes,,,,,,,
Germany,DE,"national, subnational","DE: CDU/CSU, 90/Greens, SPD",1,Press Release,Press Release (from PPG),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Deutschland&start=0&org=Partei,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Germany,DE,national,"DE: CDU, CSU, SPD, FDP, 90/Greens, LINKE und AfD",1,Press Release,Press Release (from party office),GLES,https://search.GESIS.org/research_data/ZA6844,2009/2013,2009/2013,01.06.2009/01.06.2013,26.09.2009/21.09.2013,1,1,.dta,2,4,1,"GLES (2020). Inhaltsanalyse der Pressemitteilungen der Parteien in den Bundestagswahlkämpfen 2009 und 2013. GESIS Datenarchiv, Köln. ZA6844 Datenfile Version 1.0.0, https://doi.org/10.4232/1.13437.",1,2,"party name, date, time",1,0,1,"ID_pm: ID of press release, Coder_f: Coder-ID formal variables, P01: Party, P02: Year, P03: Month, P04: Day, P05: Hour, P06: Minute, Lfdn: Current number (for press releases of one party at the same time), P07: Length of press release in characters, P08: Title of press release/alphanumeric, Coder_i: Coder-ID content variables, P09: Thematically classifiable press release? P10: Main subject of the press release: politics, polity, policy issue?, P11: Reference to one or several politics issues?, P12a: If yes: First named politics issue",1,0,2,2,1,1,,,no full texts,,,,,,,
Switzerland,CH,national,"CH: SPS/PSS, PdAS",0,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Schweiz&org=Partei,2009,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, date, time",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Switzerland,CH,national,"CH: SVP/UDC, SPS/PSS, FDP/PLR, CVP/PDC, GPS/PES, GLP, BDP/PBD",0,Press Release,Press Release,DigDemLab Dataverse (University of Zurich),https://doi.org/10.7910/DVN/PS3MNB,2018,2019,01.01.2018,31.12.2019,1,1,.RDS,2,3,0,"Gilardi, Fabrizio; Gessler, Theresa; Kubli, Mael; Müller, Stefan, 2021, ""Replication Data for: Social Media and Political Agenda Setting"", https://doi.org/10.7910/DVN/PS3MNB, Harvard Dataverse, V1",1,2,"party name, date, source, url",1,0,0,"publication date, title, agent (party/interest group), abbreviation, text, source, type, date, description, url, language, class",4,1,1,1,0,1,,,"The paper itself mainly focuses on tweets by parties and individual politicians as well as newspaper articles. However, press releases by parties and interest groups were also collected for certain steps in the analysis. Therefore, the replication data contains press releases by parties and interest groups. Unfortunately the tweets by parties and individual politicians are not available as replication data due to the Developer Agreement with Twitter. Paragraph on the use of Press  Releases in the paper: ""Finally, we collected all official press releases published by Swiss political parties and many of the organisations. While we are not primarily interested in press releases, they are an important medium for parties to communicate their policy positions and issue emphasis (Haselmayer et al., 2017). Hence, we include them in our model to assess the effect of each data source net of the effect of this frequently used source."" (Gilardi, Fabrizio, Theresa Gessler, Maël Kubli and Stefan Müller (forthcoming), ""Social Media and Political Agenda Setting"", Political Communication, p. 9)",,,,,,,
Denmark,DK,national,"DK: EL, Liberal Alliance, V",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=D%C3%A4nemark,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Belgium,BE,"national, subnational","BE: DéFI, PP, PVV, ProDG, PTB/PVDA, Vivant-Ostbelgien, Jeunes Anticapitalistes (JAC), ECOLO, MR, Ligue Communiste Révolutionnaire (LCR), cdH, N-VA, openVLD, PS-DG, VB",1,Press Release,"Press Release (from party office, from PPG)",Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Belgien&org=Partei,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Estonia,EE,national,"EE: IRL/I, EKRE, SDE",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Estland&org=Partei,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Finland,FI,national,"FI: SSDP, KD, KESK, KK, VAS, VL",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Finnland&org=Partei,2009,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
France,FR,national,"FR: EELV, La France insoumise, Parti Chrétien-Démocrate (PCD), UDI, Rassemblement National (RN), Debout La France (DLF), FN, Parti de l'In-nocence, La Gauche Moderne (LGM), PG Parti de Gauche (PG), MoDem, Nouveau Parti Anticapitaliste (NPA), PS, PCF",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Frankreich,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Greece,GR,national,"GR: To Potami, ANEL, EK, PASOK, SYRIZA, XA",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Griechenland&org=Partei,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
United Kingdom,GB,"national, subnational","GB: Labour, Scottish Labour, GPEW, Green Party in Northern Ireland, Northern Ireland Social Democratic and Labour Party",0/1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Gro%C3%9Fbritannien,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Ireland,IE,national,"IE: Socialist Party, Socialist Party (Northern Ireland), Fianna Fáil, Fine Gael, Labour, SF",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Irland,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Italy,IT,"national, subnational","IT: Articolo Uno - Movimento Democratico e Progressista (Articolo 1 - MDP), FdV, Alternativa Popolare (AP)/Nuovo Centrodestra/Nuovo Centro Destra (NCD), FI, CD, PCI/PdCI, IdV, PD, PSI, PRC, SVP, UdC, Unione per il Trentino (UPT)",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Italien&org=Partei,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Croatia,HR,national,"HR: MOST, HNS, Zivi Zid",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Kroatien,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Latvia,LV,natioal,"LV: LSP, VIENOTĪBA/UNITY",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Lettland,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Lithuania,LT,national,"LT: Lietuvos Sąrašas (LS), LRLS, LSDP, Lietuvos žaliųjų partija (LŽP)/Lithuanian Greens Party",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Litauen,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Luxembourg,LU,national,"LU: CSV/PCS, Déi Lénk/La Gauche, Déi Gréng, LSAP/POSL",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Luxemburg,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Malta,MT,national,MT: PL,1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Malta&org=Partei,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Netherlands,NL,national,"NL: D'66, GL, PvdA, PVV",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Niederlande,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Norway,NO,national,"NO: AP, FrP, H, KrF, Sp, SV, V",0,Press Release,Press Release (from party office),NSD Norsk senter for forskningsdata,https://www.nsd.no/polsys/data/parti/partidokumentarkivet/?q=&rows=10&fq=doktype:3,1990,2006,,,1,2,text/html,2,2,1,,1,1,"party name, document type, date",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Poland,PL,national,"PL: .N, Partia Zieloni (Zieloni), PiS, Kukiz'15, PO, PSL",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Polen,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Portugal,PT,national,"PT: BE, PCP, PS",1,Press Release,"Press Release (from party office, from PPG)",Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Portugal&org=Partei,2010,2020,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Romania,RO,national,"RO: ALDE, PMP, UDMR/RMDSz, USR",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Rum%C3%A4nien,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Sweden,SE,national,"SE: Kd, L, SD, SAP, CP, V",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Schweden&org=Partei,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Slovakia,SK,national,"SK: Sme Rodina, KDH, Smer, Most-Híd, L'SNS, Ol'aNO, SNS",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Slowakei&org=Partei,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Slovenia,SI,national,"SI: DeSUS, SD, Levica, SMC",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Slowenien,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Spain,ES,"national, subnational","ES: EH Bildu, Izquierda Unida, Podemos, UPyD, PNV/EAJ, ERC, EA, FAC, ICV Iniciativa per Catalunya Verds, Partit Demòcrata Europeu Català (PDeCAT), PCE, PP, Partido dos Socialistas de Galicia/PSdeG-PSOE (PSG-PSOE)",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Spanien&org=Partei,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Czech Republic,CZ,national,"CZ: CSSD, KSCM, ODS",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Tschechische%20Republik,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Hungary,HU,national,"HU: KDNP, LMP, MSzP",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Ungarn,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
